Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Sergei Zenjov,Estonia,ATK,#11,10,0,UEFA
Gunnar Nielsen,Faroe Islands,GK,#1,0,0,UEFA
Viljormur Davidesen,Faroe Islands,DEF,#2,1,0,UEFA
Rogvi Baldvinsson,Faroe Islands,DEF,#3,1,0,UEFA
Odmar Faero ,Faroe Islands,DEF,#4,2,0,UEFA
Heini Vatnsdal,Faroe Islands,DEF,#5,2,0,UEFA
Gilli Rolantsson Sorensen,Faroe Islands,MID,#6,4,0,UEFA
Solvi Vatnhamar,Faroe Islands,MID,#7,4,0,UEFA
Hallur Hansson,Faroe Islands,MID,#8,6,0,UEFA
Brandur Hendriksson Olsen,Faroe Islands,MID,#9,6,0,UEFA
Klaemint Olsen,Faroe Islands,ATK,#10,10,0,UEFA
Joan Simun Edmundsson,Faroe Islands,ATK,#11,10,0,UEFA
Arsen Beglaryan,Armenia,GK,#1,0,0,UEFA
Varazdat Haroyan,Armenia,DEF,#2,1,0,UEFA
Taron Voskanyan,Armenia,DEF,#3,1,0,UEFA
Hovhannes Hambardzumyan,Armenia,DEF,#4,2,0,UEFA
Hayk Ishkhanyan,Armenia,DEF,#5,2,0,UEFA
Artak Grigoryan,Armenia,MID,#6,4,0,UEFA
Kamo Hovhannisayan,Armenia,MID,#7,4,0,UEFA
Gevord Ghazaryan,Armenia,MID,#8,6,0,UEFA
Henrikh Mkhitaryan,Armenia,MID,#9,15,0,UEFA
Sagis Adamyan,Armenia,ATK,#10,10,0,UEFA
Aleksandre Karapetian,Armenia,ATK,#11,10,0,UEFA
,Azerbaijan,GK,#1,0,0,UEFA
,Azerbaijan,DEF,#2,1,0,UEFA
,Azerbaijan,DEF,#3,1,0,UEFA
,Azerbaijan,DEF,#4,2,0,UEFA
,Azerbaijan,DEF,#5,2,0,UEFA
,Azerbaijan,MID,#6,4,0,UEFA
,Azerbaijan,MID,#7,4,0,UEFA
,Azerbaijan,MID,#8,6,0,UEFA
,Azerbaijan,MID,#9,6,0,UEFA
,Azerbaijan,ATK,#10,10,0,UEFA
,Azerbaijan,ATK,#11,10,0,UEFA
,Kazakhstan,GK,#1,0,0,UEFA
,Kazakhstan,DEF,#2,1,0,UEFA
,Kazakhstan,DEF,#3,1,0,UEFA
,Kazakhstan,DEF,#4,2,0,UEFA
,Kazakhstan,DEF,#5,2,0,UEFA
,Kazakhstan,MID,#6,4,0,UEFA
,Kazakhstan,MID,#7,4,0,UEFA
,Kazakhstan,MID,#8,6,0,UEFA
,Kazakhstan,MID,#9,6,0,UEFA
,Kazakhstan,ATK,#10,10,0,UEFA
,Kazakhstan,ATK,#11,10,0,UEFA
,Kosovo,GK,#1,0,0,UEFA
,Kosovo,DEF,#2,1,0,UEFA
,Kosovo,DEF,#3,1,0,UEFA
,Kosovo,DEF,#4,2,0,UEFA
,Kosovo,DEF,#5,2,0,UEFA
,Kosovo,MID,#6,4,0,UEFA
,Kosovo,MID,#7,4,0,UEFA
,Kosovo,MID,#8,6,0,UEFA
,Kosovo,MID,#9,6,0,UEFA
,Kosovo,ATK,#10,10,0,UEFA
,Kosovo,ATK,#11,10,0,UEFA
,Lithuania,GK,#1,0,0,UEFA
,Lithuania,DEF,#2,1,0,UEFA
,Lithuania,DEF,#3,1,0,UEFA
,Lithuania,DEF,#4,2,0,UEFA
,Lithuania,DEF,#5,2,0,UEFA
,Lithuania,MID,#6,4,0,UEFA
,Lithuania,MID,#7,4,0,UEFA
,Lithuania,MID,#8,6,0,UEFA
,Lithuania,MID,#9,6,0,UEFA
,Lithuania,ATK,#10,10,0,UEFA
,Lithuania,ATK,#11,10,0,UEFA
,Latvia,GK,#1,0,0,UEFA
,Latvia,DEF,#2,1,0,UEFA
,Latvia,DEF,#3,1,0,UEFA
,Latvia,DEF,#4,2,0,UEFA
,Latvia,DEF,#5,2,0,UEFA
,Latvia,MID,#6,4,0,UEFA
,Latvia,MID,#7,4,0,UEFA
,Latvia,MID,#8,6,0,UEFA
,Latvia,MID,#9,6,0,UEFA
,Latvia,ATK,#10,10,0,UEFA
,Latvia,ATK,#11,10,0,UEFA
,Andorra,GK,#1,0,0,UEFA
,Andorra,DEF,#2,1,0,UEFA
,Andorra,DEF,#3,1,0,UEFA
,Andorra,DEF,#4,2,0,UEFA
,Andorra,DEF,#5,2,0,UEFA
,Andorra,MID,#6,4,0,UEFA
,Andorra,MID,#7,4,0,UEFA
,Andorra,MID,#8,6,0,UEFA
,Andorra,MID,#9,6,0,UEFA
,Andorra,ATK,#10,10,0,UEFA
,Andorra,ATK,#11,10,0,UEFA
,Moldova,GK,#1,0,0,UEFA
,Moldova,DEF,#2,1,0,UEFA
,Moldova,DEF,#3,1,0,UEFA
,Moldova,DEF,#4,2,0,UEFA
,Moldova,DEF,#5,2,0,UEFA
,Moldova,MID,#6,4,0,UEFA
,Moldova,MID,#7,4,0,UEFA
,Moldova,MID,#8,6,0,UEFA
,Moldova,MID,#9,6,0,UEFA
,Moldova,ATK,#10,10,0,UEFA
,Moldova,ATK,#11,10,0,UEFA
,Malta,GK,#1,0,0,UEFA
,Malta,DEF,#2,1,0,UEFA
,Malta,DEF,#3,1,0,UEFA
,Malta,DEF,#4,2,0,UEFA
,Malta,DEF,#5,2,0,UEFA
,Malta,MID,#6,4,0,UEFA
,Malta,MID,#7,4,0,UEFA
,Malta,MID,#8,6,0,UEFA
,Malta,MID,#9,6,0,UEFA
,Malta,ATK,#10,10,0,UEFA
,Malta,ATK,#11,10,0,UEFA
,Liechtenstein,GK,#1,0,0,UEFA
,Liechtenstein,DEF,#2,1,0,UEFA
,Liechtenstein,DEF,#3,1,0,UEFA
,Liechtenstein,DEF,#4,2,0,UEFA
,Liechtenstein,DEF,#5,2,0,UEFA
,Liechtenstein,MID,#6,4,0,UEFA
,Liechtenstein,MID,#7,4,0,UEFA
,Liechtenstein,MID,#8,6,0,UEFA
,Liechtenstein,MID,#9,6,0,UEFA
,Liechtenstein,ATK,#10,10,0,UEFA
,Liechtenstein,ATK,#11,10,0,UEFA
,Gibraltar,GK,#1,0,0,UEFA
,Gibraltar,DEF,#2,1,0,UEFA
,Gibraltar,DEF,#3,1,0,UEFA
,Gibraltar,DEF,#4,2,0,UEFA
,Gibraltar,DEF,#5,2,0,UEFA
,Gibraltar,MID,#6,4,0,UEFA
,Gibraltar,MID,#7,4,0,UEFA
,Gibraltar,MID,#8,6,0,UEFA
,Gibraltar,MID,#9,6,0,UEFA
,Gibraltar,ATK,#10,10,0,UEFA
,Gibraltar,ATK,#11,10,0,UEFA
,San Marino,GK,#1,0,0,UEFA
,San Marino,DEF,#2,1,0,UEFA
,San Marino,DEF,#3,1,0,UEFA
,San Marino,DEF,#4,2,0,UEFA
,San Marino,DEF,#5,2,0,UEFA
,San Marino,MID,#6,4,0,UEFA
,San Marino,MID,#7,4,0,UEFA
,San Marino,MID,#8,6,0,UEFA
,San Marino,MID,#9,6,0,UEFA
,San Marino,ATK,#10,10,0,UEFA
,San Marino,ATK,#11,10,0,UEFA
