Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Azwan Saleh,Brunei,MID,#8,6,0,AFC
Amin Sisa,Brunei,MID,#9,6,0,AFC
Azwan Ali Rahman,Brunei,ATK,#10,10,0,AFC
Razimie Ramili,Brunei,ATK,#11,10,0,AFC
Aderito,Timor-Leste,GK,#1,0,0,AFC
Candido,Timor-Leste,DEF,#2,1,0,AFC
Victor,Timor-Leste,DEF,#3,1,0,AFC
Ade,Timor-Leste,DEF,#4,4,0,AFC
Avigmas,Timor-Leste,DEF,#5,2,0,AFC
Osvaldo,Timor-Leste,MID,#6,2,0,AFC
Paulo Gali,Timor-Leste,MID,#7,2,0,AFC
Gelvanio,Timor-Leste,MID,#8,2,0,AFC
Elias,Timor-Leste,MID,#9,2,0,AFC
Rufinho Gama,Timor-Leste,ATK,#10,10,0,AFC
Joao Pedro,Timor-Leste,ATK,#11,8,0,AFC
Doug Herrick,Guam,GK,#1,0,0,AFC
Micah Paulino,Guam,DEF,#2,1,0,AFC
Scott Leon Guerrero,Guam,DEF,#3,1,0,AFC
Shawn Nicklaw,Guam,DEF,#4,2,0,AFC
A.J. De La Garza,Guam,DEF,#5,2,0,AFC
Travis Nicklaw,Guam,MID,#6,4,0,AFC
Mark Chargualaf,Guam,MID,#7,4,0,AFC
Ryan Guy,Guam,MID,#8,6,0,AFC
Jason Cuncliffe,Guam,MID,#9,6,0,AFC
Jason Garrido,Guam,ATK,#10,10,0,AFC
Marcus Lopez,Guam,ATK,#11,10,0,AFC
Yousuf Butt,Pakistan,GK,#1,0,0,AFC
Waqar Ihtisham,Pakistan,DEF,#2,1,0,AFC
Umer Hayat,Pakistan,DEF,#3,1,0,AFC
Abdullah Qazi,Pakistan,DEF,#4,2,0,AFC
Ali Uzair,Pakistan,DEF,#5,2,0,AFC
Muhammad Adil,Pakistan,MID,#6,4,0,AFC
Samir Nabi,Pakistan,MID,#7,4,0,AFC
Rahis Nabi,Pakistan,MID,#8,6,0,AFC
Muhammad Ali,Pakistan,ATK,#9,6,0,AFC
Kaleemullah Khan,Pakistan,ATK,#10,10,0,AFC
Hassan Bashir,Pakistan,ATK,#11,10,0,AFC
Sujan Perera,Sri Lanka,GK,#1,0,0,AFC
Jude Supan,Sri Lanka,DEF,#2,1,0,AFC
Subash Madushan,Sri Lanka,DEF,#3,1,0,AFC
Bandaa Warakagoda,Sri Lanka,DEF,#4,2,0,AFC
Charitha Mudiyanselage,Sri Lanka,DEF,#5,2,0,AFC
Kavindu Ishan,Sri Lanka,MID,#6,4,0,AFC
Mohamed Rifnas,Sri Lanka,MID,#7,4,0,AFC
Waseem Ahmed Razeek,Sri Lanka,MID,#8,6,0,AFC
Chameera Sajith,Sri Lanka,MID,#9,6,0,AFC
Mohamed Fazal,Sri Lanka,ATK,#10,10,0,AFC
Zohar Mohamed Zarwan,Sri Lanka,ATK,#11,10,0,AFC
Edouard Mendy,Senegal,GK,#1,0,0,CAF
Youssouf Sabaly,Senegal,DEF,#2,1,0,CAF
Moussa Wague,Senegal,DEF,#3,2,0,CAF
Salif Sane,Senegal,DEF,#4,3,0,CAF
Kalidou Koulibaly,Senegal,DEF,#5,4,0,CAF
Cheikou Kouyate,Senegal,MID,#6,5,0,CAF
Badou Ndaiye,Senegal,MID,#7,6,0,CAF
Idrissa Gueye,Senegal,MID,#8,7,0,CAF
Ismalia Sarr,Senegal,MID,#9,8,0,CAF
Opa Nguette,Senegal,ATK,#10,9,0,CAF
Sadio Mane,Senegal,ATK,#11,10,0,CAF
Farouk Ben Mustapha,Tunisia,GK,#1,0,0,CAF
Ali Maaloul,Tunisia,DEF,#2,1,0,CAF
Dylan Bronn,Tunisia,DEF,#3,2,0,CAF
Yassine Meriah,Tunisia,DEF,#4,3,0,CAF
Mohammed Drager,Tunisia,DEF,#5,4,0,CAF
Ferjani Sassi,Tunisia,MID,#6,5,0,CAF
Mohamed Amine Ben Amor,Tunisia,MID,#7,6,0,CAF
Saad Bguir,Tunisia,MID,#8,7,0,CAF
Naim Sliti,Tunisia,MID,#9,8,0,CAF
Youssef Msakni,Tunisia,ATK,#10,9,0,CAF
Wabhi Khazri,Tunisia,ATK,#11,10,0,CAF
Rais M'Bolhi,Algeria,GK,#1,0,0,CAF
Mehdi Tahrat,Algeria,DEF,#2,1,0,CAF
Aissa Mandi,Algeria,DEF,#3,2,0,CAF
Ramy Bensebaini,Algeria,DEF,#4,3,0,CAF
Djamel Benlamri,Algeria,DEF,#5,4,0,CAF
Adlene Guedioura,Algeria,MID,#6,5,0,CAF
Yacine Brahimi,Algeria,MID,#7,6,0,CAF
Sofiane Feghouli,Algeria,MID,#8,7,0,CAF
Said Benrahma,Algeria,MID,#9,8,0,CAF
Riyad Mahrez,Algeria,ATK,#10,9,0,CAF
Baghdad Bounedjah,Algeria,ATK,#11,10,0,CAF
Munir Mohamedi,Morocco,GK,#1,0,0,CAF
Hamza Mendyl,Morocco,DEF,#2,1,0,CAF
Romain Saiss,Morocco,DEF,#3,2,0,CAF
Noussair Mazrouri,Morocco,DEF,#4,3,0,CAF
Achraf Hakimi,Morocco,DEF,#5,4,0,CAF
Omar El Kaddouri ,Morocco,MID,#6,5,0,CAF
Faycal Fajr,Morocco,MID,#7,6,0,CAF
Adil Taarabt,Morocco,MID,#8,7,0,CAF
Hakim Ziyech,Morocco,MID,#9,8,0,CAF
Youssef En-Nesyri,Morocco,ATK,#10,9,0,CAF
Youssef El-Arabi,Morocco,ATK,#11,10,0,CAF
Daniel Akpeyi,Nigeria,GK,#1,0,0,CAF
Leon Balogun,Nigeria,DEF,#2,1,0,CAF
Ola Aina,Nigeria,DEF,#3,2,0,CAF
Kenneth Omeru,Nigeria,DEF,#4,3,0,CAF
William Troost-Ekong,Nigeria,DEF,#5,4,0,CAF
Peter Etebo,Nigeria,MID,#6,5,0,CAF
Alex Iwobi,Nigeria,MID,#7,6,0,CAF
Samuel Chukwueze,Nigeria,ATK,#8,7,0,CAF
Victor Osimhen,Nigeria,ATK,#9,8,0,CAF
Kelechi Iheanacho,Nigeria,ATK,#10,9,0,CAF
Ahmed Musa,Nigeria,ATK,#11,10,0,CAF
Mohamed El Shenawy,Egypt,GK,#1,0,0,CAF
Mohamed Hany,Egypt,DEF,#2,1,0,CAF
Ali Gabr,Egypt,DEF,#3,2,0,CAF
Ayman Ashraf,Egypt,DEF,#4,3,0,CAF
Ahmed Hegazi,Egypt,DEF,#5,4,0,CAF
Tarek Hamed,Egypt,MID,#6,5,0,CAF
Mohamed Elneny,Egypt,MID,#7,6,0,CAF
Abdallah El Said,Egypt,MID,#8,7,0,CAF
Trezeguet,Egypt,ATK,#9,8,0,CAF
Kouka,Egypt,ATK,#10,9,0,CAF
Mohamed Salah,Egypt,ATK,#11,25,0,CAF
Andre Onana,Cameroon,GK,#1,0,0,CAF
Ambroise Oyongo,Cameroon,DEF,#2,1,0,CAF
Collins Fai,Cameroon,DEF,#3,2,0,CAF
Nicolas Nkoulou,Cameroon,DEF,#4,3,0,CAF
Michael Ngadeu-Ngadjui,Cameroon,DEF,#5,4,0,CAF
Arnaud Djoum ,Cameroon,MID,#6,5,0,CAF
Christian Bassogog,Cameroon,MID,#7,6,0,CAF
Andre-Frank Zambo Anguissa,Cameroon,MID,#8,7,0,CAF
Clinton N'Jie,Cameroon,ATK,#9,8,0,CAF
Eric Maxim Choupo-Moting,Cameroon,ATK,#10,9,0,CAF
Vincent Aboubakar,Cameroon,ATK,#11,10,0,CAF
Richard Ofori,Ghana,GK,#1,0,0,CAF
Nicholas Opoku,Ghana,DEF,#2,1,0,CAF
Baba Rahman,Ghana,DEF,#3,2,0,CAF
John Boye,Ghana,DEF,#4,3,0,CAF
Mohamed Salisu,Ghana,DEF,#5,4,0,CAF
Thomas Partey,Ghana,MID,#6,5,0,CAF
Bernard Mensah,Ghana,MID,#7,6,0,CAF
Mubarak Wakaso,Ghana,MID,#8,7,0,CAF
Andre Ayew,Ghana,MID,#9,8,0,CAF
Mohamed Kudus,Ghana,ATK,#10,9,0,CAF
Jordan Ayew,Ghana,ATK,#11,10,0,CAF
Djigui Diarra,Mali,GK,#1,0,0,CAF
Mamadou Fofana,Mali,DEF,#2,1,0,CAF
Falaye Sacko,Mali,DEF,#3,2,0,CAF
Hamari Traore,Mali,DEF,#4,3,0,CAF
Molla Wague,Mali,DEF,#5,4,0,CAF
Yves Bissouma,Mali,MID,#6,5,0,CAF
Lassana Coulibaly,Mali,MID,#7,6,0,CAF
Adama Traore,Mali,MID,#8,7,0,CAF
Moussa Djenepo,Mali,MID,#9,8,0,CAF
Kalifa Coulibaly,Mali,ATK,#10,9,0,CAF
Sekou Coita,Mali,ATK,#11,10,0,CAF
Aboubacar Sawadogo,Burkina Faso,GK,#1,0,0,CAF
Steeve Yago,Burkina Faso,DEF,#2,1,0,CAF
Yacouba Coulibaly,Burkina Faso,DEF,#3,2,0,CAF
Edmond Tapsoba,Burkina Faso,DEF,#4,3,0,CAF
Issoufou Dayo,Burkina Faso,DEF,#5,4,0,CAF
Charles Kabore,Burkina Faso,MID,#6,5,0,CAF
Cyrille Bayala,Burkina Faso,MID,#7,6,0,CAF
Bryan Dabo,Burkina Faso,MID,#8,7,0,CAF
Alain Traore,Burkina Faso,ATK,#9,8,0,CAF
Bertrand Traore,Burkina Faso,ATK,#10,9,0,CAF
Lassina Traore,Burkina Faso,ATK,#11,10,0,CAF
Joel Kiassumbua,Congo DR,GK,#1,0,0,CAF
Issama Mpeko,Congo DR,DEF,#2,1,0,CAF
Marcel Tisserand,Congo DR,DEF,#3,2,0,CAF
Ngonda Muzinga,Congo DR,DEF,#4,3,0,CAF
Merveille Bokadi,Congo DR,DEF,#5,4,0,CAF
Chancel Mbemba,Congo DR,MID,#6,5,0,CAF
Yannick Bangala Litombo,Congo DR,MID,#7,6,0,CAF
Paul-Jose M'Poku,Congo DR,MID,#8,7,0,CAF
Neeskens Kabano,Congo DR,MID,#9,8,0,CAF
Yannick Bolasie,Congo DR,ATK,#10,9,0,CAF
Cedric Bakumbu,Congo DR,ATK,#11,10,0,CAF
Sylvain Gbohouo,Ivory Coast,GK,#1,0,0,CAF
Serge Aurier,Ivory Coast,DEF,#2,1,0,CAF
Wilfried Kanon,Ivory Coast,DEF,#3,2,0,CAF
Eric Bailly,Ivory Coast,DEF,#4,3,0,CAF
Kalpi Ouattara,Ivory Coast,DEF,#5,4,0,CAF
Serey Die,Ivory Coast,MID,#6,5,0,CAF
Franck Kessie,Ivory Coast,MID,#7,6,0,CAF
Jean-Daniel Akpa Akpro ,Ivory Coast,MID,#8,7,0,CAF
Sebestian Haller,Ivory Coast,ATK,#9,10,0,CAF
Gervinho,Ivory Coast,ATK,#10,9,0,CAF
Wilfried Zaha,Ivory Coast,ATK,#11,8,0,CAF
Darren Keet,South Africa,GK,#1,0,0,CAF
Sifiso Hlanti,South Africa,DEF,#2,1,0,CAF
Thulani Hlatshwayo,South Africa,DEF,#3,2,0,CAF
Thlapelo Moreno,South Africa,DEF,#4,3,0,CAF
Mosa Lebesu,South Africa,DEF,#5,4,0,CAF
Teboho Mokoena,South Africa,MID,#6,5,0,CAF
Keagen Dolly,South Africa,MID,#7,6,0,CAF
Bongani Zungu,South Africa,MID,#8,7,0,CAF
Percy Tau,South Africa,MID,#9,8,0,CAF
Kermit Erasmus,South Africa,ATK,#10,9,0,CAF
Luther Singh,South Africa,ATK,#11,10,0,CAF
Aly Keita,Guinea,GK,#1,0,0,CAF
Saidou Sow,Guinea,DEF,#2,1,0,CAF
Issiaga Sylla,Guinea,DEF,#3,2,0,CAF
Simon Falette,Guinea,DEF,#4,3,0,CAF
Florentin Pogba,Guinea,DEF,#5,4,0,CAF
Ibrahima Sory Conte,Guinea,MID,#6,5,0,CAF
Morlaye Sylla,Guinea,MID,#7,6,0,CAF
Naby Keita,Guinea,MID,#8,7,0,CAF
Demba Camara,Guinea,MID,#9,8,0,CAF
Francois Kamara,Guinea,ATK,#10,9,0,CAF
Daouda Camara,Guinea,ATK,#11,10,0,CAF
Denis Onyango,Uganda,GK,#1,0,0,CAF
Bevis Mugabi,Uganda,DEF,#2,1,0,CAF
Timothy Awany,Uganda,DEF,#3,2,0,CAF
Joseph Ochaya,Uganda,DEF,#4,3,0,CAF
Nichola Wadada,Uganda,DEF,#5,4,0,CAF
Khalid Aucho,Uganda,MID,#6,5,0,CAF
Moses Waiswa,Uganda,MID,#7,6,0,CAF
Taddeo Lwanga,Uganda,MID,#8,7,0,CAF
Farouk Miya,Uganda,MID,#9,8,0,CAF
Fahad Bayo,Uganda,ATK,#10,9,0,CAF
Emmenuel Okwi,Uganda,ATK,#11,10,0,CAF
Vozinha,Cabo Verde,GK,#1,0,0,CAF
Stopira,Cabo Verde,DEF,#2,1,0,CAF
Steven Fortes,Cabo Verde,DEF,#3,2,0,CAF
Ponck,Cabo Verde,DEF,#4,3,0,CAF
Jeffry Fortes,Cabo Verde,DEF,#5,4,0,CAF
Marco Soares,Cabo Verde,MID,#6,5,0,CAF
Bruno Leite,Cabo Verde,MID,#7,6,0,CAF
Helder Tavares,Cabo Verde,MID,#8,7,0,CAF
Jamiro,Cabo Verde,MID,#10,9,0,CAF
Gilson Taveres,Cabo Verde,ATK,#9,8,0,CAF
Ryan Mendes,Cabo Verde,ATK,#11,10,0,CAF
Fabian Farnolle,Benin,GK,#1,0,0,CAF
David Kiki,Benin,DEF,#2,1,0,CAF
Olivier Verdon,Benin,DEF,#3,2,0,CAF
Emmenuel Imorou,Benin,DEF,#4,3,0,CAF
Nabil Yarou,Benin,DEF,#5,4,0,CAF
Jordan Adeoti,Benin,MID,#6,5,0,CAF
Seibou Mama,Benin,MID,#7,6,0,CAF
Sessi D'Almeida,Benin,MID,#8,7,0,CAF
Stephane Sessegnon,Benin,MID,#9,8,0,CAF
Steve Mounie,Benin,ATK,#10,9,0,CAF
Mickael Pote,Benin,ATK,#11,10,0,CAF
Mfa Mezui,Gabon,GK,#1,0,0,CAF
Ecuele Manga,Gabon,DEF,#2,1,0,CAF
Lloyd Palun,Gabon,DEF,#3,2,0,CAF
Johann Obiang,Gabon,DEF,#4,3,0,CAF
Yoann Wachter,Gabon,DEF,#5,4,0,CAF
Andre Biyogo Poko,Gabon,MID,#6,5,0,CAF
Levy Madinda,Gabon,MID,#7,6,0,CAF
Guelor Kaku,Gabon,MID,#8,7,0,CAF
Didier Ndong,Gabon,MID,#9,8,0,CAF
Denis Bouanga,Gabon,ATK,#10,9,0,CAF
Pierre-Emerick Aubameyang,Gabon,ATK,#11,25,0,CAF
Sebastian Mwange,Zambia,GK,#1,0,0,CAF
Kaboso Chongo,Zambia,DEF,#2,1,0,CAF
Tandi Mwape,Zambia,DEF,#3,2,0,CAF
Luka Banda,Zambia,DEF,#4,3,0,CAF
Zakaria Chilongoshi,Zambia,DEF,#5,4,0,CAF
Lubambo Musonda,Zambia,MID,#6,5,0,CAF
Enock Mwepu,Zambia,MID,#7,6,0,CAF
Kings Kangwa,Zambia,MID,#8,7,0,CAF
Benson Sakala,Zambia,MID,#9,8,0,CAF
Fashion Sakala,Zambia,ATK,#10,9,0,CAF
Justin Shonga,Zambia,ATK,#11,10,0,CAF
Christoffer Mafoumbi,Congo,GK,#1,0,0,CAF
Dimitri Bissiki,Congo,DEF,#2,1,0,CAF
Carof Bakou,Congo,DEF,#3,2,0,CAF
Fernard Mayembo,Congo,DEF,#4,3,0,CAF
Beranger Itoua,Congo,DEF,#5,4,0,CAF
Amour Loussoukou,Congo,MID,#6,5,0,CAF
Durel Avounou,Congo,MID,#7,6,0,CAF
Gaius Makouta,Congo,MID,#8,7,0,CAF
Harvy Ossete,Congo,MID,#9,8,0,CAF
Prince Ibara,Congo,ATK,#10,9,0,CAF
Thievy Bifouma,Congo,ATK,#11,10,0,CAF
Melvin Adrien,Madagascar,GK,#1,0,0,CAF
Pascal Razakanantenaina,Madagascar,DEF,#2,1,0,CAF
Thomas Fontaine,Madagascar,DEF,#3,2,0,CAF
Jérôme Mombris,Madagascar,DEF,#4,3,0,CAF
Romain Métanire,Madagascar,DEF,#5,4,0,CAF
Ibrahim Amada,Madagascar,MID,#6,5,0,CAF
Arohasina Andrianarimanana,Madagascar,MID,#7,6,0,CAF
Zotsara Randriambololona,Madagascar,MID,#8,7,0,CAF
Anicet Abel,Madagascar,MID,#9,8,0,CAF
Lalaïna Nomenjanahary,Madagascar,ATK,#10,9,0,CAF
Paulin Voavy,Madagascar,ATK,#11,10,0,CAF
Namori Diaw,Mauritania,GK,#1,0,0,CAF
Abdoul Ba,Mauritania,DEF,#2,1,0,CAF
Moustapha Diow,Mauritania,DEF,#3,2,0,CAF
Bakary N'Daiye,Mauritania,DEF,#4,3,0,CAF
Diade Diarra,Mauritania,DEF,#5,4,0,CAF
Hacen El Ide,Mauritania,MID,#6,5,0,CAF
Mohamed Yali,Mauritania,MID,#7,6,0,CAF
Alassane Diop ,Mauritania,MID,#8,7,0,CAF
Abdallahi Mahmoud,Mauritania,MID,#9,8,0,CAF
Ndioko Niassa,Mauritania,ATK,#10,9,0,CAF
Cheikh Ahmed,Mauritania,ATK,#11,10,0,CAF
a,Kenya,GK,#1,0,0,CAF
a,Kenya,DEF,#2,1,0,CAF
a,Kenya,DEF,#3,2,0,CAF
a,Kenya,DEF,#4,3,0,CAF
a,Kenya,DEF,#5,4,0,CAF
a,Kenya,MID,#6,5,0,CAF
a,Kenya,MID,#7,6,0,CAF
a,Kenya,MID,#8,7,0,CAF
a,Kenya,MID,#9,8,0,CAF
a,Kenya,ATK,#10,9,0,CAF
a,Kenya,ATK,#11,10,0,CAF
a,Mozambique,GK,#1,0,0,CAF
a,Mozambique,DEF,#2,1,0,CAF
a,Mozambique,DEF,#3,2,0,CAF
a,Mozambique,DEF,#4,3,0,CAF
a,Mozambique,DEF,#5,4,0,CAF
a,Mozambique,MID,#6,5,0,CAF
a,Mozambique,MID,#7,6,0,CAF
a,Mozambique,MID,#8,7,0,CAF
a,Mozambique,MID,#9,8,0,CAF
a,Mozambique,ATK,#10,9,0,CAF
a,Mozambique,ATK,#11,10,0,CAF
a,Zimbabwe,GK,#1,0,0,CAF
a,Zimbabwe,DEF,#2,1,0,CAF
a,Zimbabwe,DEF,#3,2,0,CAF
a,Zimbabwe,DEF,#4,3,0,CAF
a,Zimbabwe,DEF,#5,4,0,CAF
a,Zimbabwe,MID,#6,5,0,CAF
a,Zimbabwe,MID,#7,6,0,CAF
a,Zimbabwe,MID,#8,7,0,CAF
a,Zimbabwe,MID,#9,8,0,CAF
a,Zimbabwe,ATK,#10,9,0,CAF
a,Zimbabwe,ATK,#11,10,0,CAF
a,Libya,GK,#1,0,0,CAF
a,Libya,DEF,#2,1,0,CAF
a,Libya,DEF,#3,2,0,CAF
a,Libya,DEF,#4,3,0,CAF
a,Libya,DEF,#5,4,0,CAF
a,Libya,MID,#6,5,0,CAF
a,Libya,MID,#7,6,0,CAF
a,Libya,MID,#8,7,0,CAF
a,Libya,MID,#9,8,0,CAF
a,Libya,ATK,#10,9,0,CAF
a,Libya,ATK,#11,10,0,CAF
a,Niger,GK,#1,0,0,CAF
a,Niger,DEF,#2,1,0,CAF
a,Niger,DEF,#3,2,0,CAF
a,Niger,DEF,#4,3,0,CAF
a,Niger,DEF,#5,4,0,CAF
a,Niger,MID,#6,5,0,CAF
a,Niger,MID,#7,6,0,CAF
a,Niger,MID,#8,7,0,CAF
a,Niger,MID,#9,8,0,CAF
a,Niger,ATK,#10,9,0,CAF
a,Niger,ATK,#11,10,0,CAF
a,Central African Republic,GK,#1,0,0,CAF
a,Central African Republic,DEF,#2,1,0,CAF
a,Central African Republic,DEF,#3,2,0,CAF
a,Central African Republic,DEF,#4,3,0,CAF
a,Central African Republic,DEF,#5,4,0,CAF
a,Central African Republic,MID,#6,5,0,CAF
a,Central African Republic,MID,#7,6,0,CAF
a,Central African Republic,MID,#8,7,0,CAF
a,Central African Republic,MID,#9,8,0,CAF
a,Central African Republic,ATK,#10,9,0,CAF
a,Central African Republic,ATK,#11,10,0,CAF
a,Sierra Leone,GK,#1,0,0,CAF
a,Sierra Leone,DEF,#2,1,0,CAF
a,Sierra Leone,DEF,#3,2,0,CAF
a,Sierra Leone,DEF,#4,3,0,CAF
a,Sierra Leone,DEF,#5,4,0,CAF
a,Sierra Leone,MID,#6,5,0,CAF
a,Sierra Leone,MID,#7,6,0,CAF
a,Sierra Leone,MID,#8,7,0,CAF
a,Sierra Leone,MID,#9,8,0,CAF
a,Sierra Leone,ATK,#10,9,0,CAF
a,Sierra Leone,ATK,#11,10,0,CAF
a,Namibia,GK,#1,0,0,CAF
a,Namibia,DEF,#2,1,0,CAF
a,Namibia,DEF,#3,2,0,CAF
a,Namibia,DEF,#4,3,0,CAF
a,Namibia,DEF,#5,4,0,CAF
a,Namibia,MID,#6,5,0,CAF
a,Namibia,MID,#7,6,0,CAF
a,Namibia,MID,#8,7,0,CAF
a,Namibia,MID,#9,8,0,CAF
a,Namibia,ATK,#10,9,0,CAF
a,Namibia,ATK,#11,10,0,CAF
a,Guinea-Bissau,GK,#1,0,0,CAF
a,Guinea-Bissau,DEF,#2,1,0,CAF
a,Guinea-Bissau,DEF,#3,2,0,CAF
a,Guinea-Bissau,DEF,#4,3,0,CAF
a,Guinea-Bissau,DEF,#5,4,0,CAF
a,Guinea-Bissau,MID,#6,5,0,CAF
a,Guinea-Bissau,MID,#7,6,0,CAF
a,Guinea-Bissau,MID,#8,7,0,CAF
a,Guinea-Bissau,MID,#9,8,0,CAF
a,Guinea-Bissau,ATK,#10,9,0,CAF
a,Guinea-Bissau,ATK,#11,10,0,CAF
a,Malawi,GK,#1,0,0,CAF
a,Malawi,DEF,#2,1,0,CAF
a,Malawi,DEF,#3,2,0,CAF
a,Malawi,DEF,#4,3,0,CAF
a,Malawi,DEF,#5,4,0,CAF
a,Malawi,MID,#6,5,0,CAF
a,Malawi,MID,#7,6,0,CAF
a,Malawi,MID,#8,7,0,CAF
a,Malawi,MID,#9,8,0,CAF
a,Malawi,ATK,#10,9,0,CAF
a,Malawi,ATK,#11,10,0,CAF
a,Angola,GK,#1,0,0,CAF
a,Angola,DEF,#2,1,0,CAF
a,Angola,DEF,#3,2,0,CAF
a,Angola,DEF,#4,3,0,CAF
a,Angola,DEF,#5,4,0,CAF
a,Angola,MID,#6,5,0,CAF
a,Angola,MID,#7,6,0,CAF
a,Angola,MID,#8,7,0,CAF
a,Angola,MID,#9,8,0,CAF
a,Angola,ATK,#10,9,0,CAF
a,Angola,ATK,#11,10,0,CAF
a,Sudan,GK,#1,0,0,CAF
a,Sudan,DEF,#2,1,0,CAF
a,Sudan,DEF,#3,2,0,CAF
a,Sudan,DEF,#4,3,0,CAF
a,Sudan,DEF,#5,4,0,CAF
a,Sudan,MID,#6,5,0,CAF
a,Sudan,MID,#7,6,0,CAF
a,Sudan,MID,#8,7,0,CAF
a,Sudan,MID,#9,8,0,CAF
a,Sudan,ATK,#10,9,0,CAF
a,Sudan,ATK,#11,10,0,CAF
a,Togo,GK,#1,0,0,CAF
a,Togo,DEF,#2,1,0,CAF
a,Togo,DEF,#3,2,0,CAF
a,Togo,DEF,#4,3,0,CAF
a,Togo,DEF,#5,4,0,CAF
a,Togo,MID,#6,5,0,CAF
a,Togo,MID,#7,6,0,CAF
a,Togo,MID,#8,7,0,CAF
a,Togo,MID,#9,8,0,CAF
a,Togo,ATK,#10,9,0,CAF
a,Togo,ATK,#11,10,0,CAF
a,Comoros,GK,#1,0,0,CAF
a,Comoros,DEF,#2,1,0,CAF
a,Comoros,DEF,#3,2,0,CAF
a,Comoros,DEF,#4,3,0,CAF
a,Comoros,DEF,#5,4,0,CAF
a,Comoros,MID,#6,5,0,CAF
a,Comoros,MID,#7,6,0,CAF
a,Comoros,MID,#8,7,0,CAF
a,Comoros,MID,#9,8,0,CAF
a,Comoros,ATK,#10,9,0,CAF
a,Comoros,ATK,#11,10,0,CAF
a,Rwanda,GK,#1,0,0,CAF
a,Rwanda,DEF,#2,1,0,CAF
a,Rwanda,DEF,#3,2,0,CAF
a,Rwanda,DEF,#4,3,0,CAF
a,Rwanda,DEF,#5,4,0,CAF
a,Rwanda,MID,#6,5,0,CAF
a,Rwanda,MID,#7,6,0,CAF
a,Rwanda,MID,#8,7,0,CAF
a,Rwanda,MID,#9,8,0,CAF
a,Rwanda,ATK,#10,9,0,CAF
a,Rwanda,ATK,#11,10,0,CAF
a,Equatorial Guinea,GK,#1,0,0,CAF
a,Equatorial Guinea,DEF,#2,1,0,CAF
a,Equatorial Guinea,DEF,#3,2,0,CAF
a,Equatorial Guinea,DEF,#4,3,0,CAF
a,Equatorial Guinea,DEF,#5,4,0,CAF
a,Equatorial Guinea,MID,#6,5,0,CAF
a,Equatorial Guinea,MID,#7,6,0,CAF
a,Equatorial Guinea,MID,#8,7,0,CAF
a,Equatorial Guinea,MID,#9,8,0,CAF
a,Equatorial Guinea,ATK,#10,9,0,CAF
a,Equatorial Guinea,ATK,#11,10,0,CAF
a,Tanzania,GK,#1,0,0,CAF
a,Tanzania,DEF,#2,1,0,CAF
a,Tanzania,DEF,#3,2,0,CAF
a,Tanzania,DEF,#4,3,0,CAF
a,Tanzania,DEF,#5,4,0,CAF
a,Tanzania,MID,#6,5,0,CAF
a,Tanzania,MID,#7,6,0,CAF
a,Tanzania,MID,#8,7,0,CAF
a,Tanzania,MID,#9,8,0,CAF
a,Tanzania,ATK,#10,9,0,CAF
a,Tanzania,ATK,#11,10,0,CAF
a,Burundi,GK,#1,0,0,CAF
a,Burundi,DEF,#2,1,0,CAF
a,Burundi,DEF,#3,2,0,CAF
a,Burundi,DEF,#4,3,0,CAF
a,Burundi,DEF,#5,4,0,CAF
a,Burundi,MID,#6,5,0,CAF
a,Burundi,MID,#7,6,0,CAF
a,Burundi,MID,#8,7,0,CAF
a,Burundi,MID,#9,8,0,CAF
a,Burundi,ATK,#10,9,0,CAF
a,Burundi,ATK,#11,10,0,CAF
a,Lesotho,GK,#1,0,0,CAF
a,Lesotho,DEF,#2,1,0,CAF
a,Lesotho,DEF,#3,2,0,CAF
a,Lesotho,DEF,#4,3,0,CAF
a,Lesotho,DEF,#5,4,0,CAF
a,Lesotho,MID,#6,5,0,CAF
a,Lesotho,MID,#7,6,0,CAF
a,Lesotho,MID,#8,7,0,CAF
a,Lesotho,MID,#9,8,0,CAF
a,Lesotho,ATK,#10,9,0,CAF
a,Lesotho,ATK,#11,10,0,CAF
a,Botswana,GK,#1,0,0,CAF
a,Botswana,DEF,#2,1,0,CAF
a,Botswana,DEF,#3,2,0,CAF
a,Botswana,DEF,#4,3,0,CAF
a,Botswana,DEF,#5,4,0,CAF
a,Botswana,MID,#6,5,0,CAF
a,Botswana,MID,#7,6,0,CAF
a,Botswana,MID,#8,7,0,CAF
a,Botswana,MID,#9,8,0,CAF
a,Botswana,ATK,#10,9,0,CAF
a,Botswana,ATK,#11,10,0,CAF
a,Ethiopia,GK,#1,0,0,CAF
a,Ethiopia,DEF,#2,1,0,CAF
a,Ethiopia,DEF,#3,2,0,CAF
a,Ethiopia,DEF,#4,3,0,CAF
a,Ethiopia,DEF,#5,4,0,CAF
a,Ethiopia,MID,#6,5,0,CAF
a,Ethiopia,MID,#7,6,0,CAF
a,Ethiopia,MID,#8,7,0,CAF
a,Ethiopia,MID,#9,8,0,CAF
a,Ethiopia,ATK,#10,9,0,CAF
a,Ethiopia,ATK,#11,10,0,CAF
a,Liberia,GK,#1,0,0,CAF
a,Liberia,DEF,#2,1,0,CAF
a,Liberia,DEF,#3,2,0,CAF
a,Liberia,DEF,#4,3,0,CAF
a,Liberia,DEF,#5,4,0,CAF
a,Liberia,MID,#6,5,0,CAF
a,Liberia,MID,#7,6,0,CAF
